Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.0,5116452960,4070,1257113.7,3536.0,2096,126966256,8382468.2,cudaMemcpyAsync
5.1,282509488,214,1320137.8,367976.0,9456,4647424,1401418.1,cudaGraphLaunch_v10000
0.8,46571424,6365,7316.8,3408.0,2416,5340128,117046.8,cudaLaunchKernel
0.8,42513168,2102,20225.1,4848.0,2304,5751552,256917.2,cuLaunchKernelEx
0.0,1865216,371,5027.5,5296.0,2432,11248,1454.7,cuLaunchKernel
0.0,1829616,1826,1002.0,576.0,352,18000,1037.5,cudaEventQuery
0.0,1629200,1588,1025.9,432.0,224,37248,1526.9,cudaEventRecordWithFlags_v11010
0.0,1273664,79,16122.3,7200.0,5152,621232,69057.6,cudaEventSynchronize
0.0,1066992,158,6753.1,2416.0,464,236512,23563.3,cudaEventDestroy
0.0,797168,3581,222.6,144.0,80,8720,321.9,cudaStreamIsCapturing_v10000
0.0,688176,6365,108.1,48.0,16,1312,132.5,cuKernelGetName
0.0,584640,488,1198.0,432.0,272,185664,8439.0,cudaEventRecord
0.0,548896,567,968.1,832.0,272,10752,790.0,cudaStreamWaitEvent
0.0,312896,158,1980.4,1664.0,928,7136,875.5,cudaGetFuncBySymbol_v11000
0.0,272048,158,1721.8,1664.0,352,5024,1233.4,cudaEventCreateWithFlags
0.0,230688,258,894.1,736.0,192,6928,756.9,cuKernelGetFunction
0.0,213952,162,1320.7,1272.0,896,3120,350.6,cudaStreamSynchronize
0.0,145728,316,461.2,376.0,112,3312,378.7,cudaStreamGetCaptureInfo_v12030
0.0,65152,7,9307.4,8128.0,4816,17248,4750.2,cudaLaunchHostFunc_v10000
0.0,63488,11,5771.6,5744.0,3744,9936,1893.7,cudaLaunchCooperativeKernel
0.0,31584,2,15792.0,15792.0,2768,28816,18418.7,cudaMemsetAsync
