Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.0,2701687198,6636,407125.9,467424.0,136736,3070496,228614.9,fused_moe_kernel
21.5,1288560347,14445,89204.6,61632.0,3552,783328,99991.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
8.8,530336384,8058,65814.9,47760.0,34336,1686144,89227.1,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
7.3,436609243,10625,41092.6,13472.0,3936,1549248,166205.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
2.6,156466208,3276,47761.4,46064.0,11264,97792,15660.5,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)512, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)64, (unsigned int)64, (unsigned int)64, (unsigned int)0, (unsigned int)10, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
1.6,94053210,6942,13548.4,12832.0,8640,170112,3251.6,mhc_fused_tilelang_kernel
1.4,86054527,3276,26268.2,27296.0,18848,56352,4017.0,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)4096, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)5, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)4>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
1.0,61138459,3318,18426.3,15040.0,1856,71520,15804.4,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)4, (int)4>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
1.0,58611840,858,68312.2,67648.0,65792,222624,7893.1,"void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.9,52049343,3318,15687.0,17248.0,2528,29024,6349.8,"void vllm::moe::single_group_topk::detail::single_group_topk_block_kernel<float, float, int, (vllm::moe::ScoringFunc)1, (int)384, (int)8>(const T1 *, float *, T3 *, const T2 *, long, long, bool, float, bool)"
0.8,46363959,7584,6113.4,2240.0,1120,26880,5744.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.6,36085216,2652,13606.8,13472.0,10848,64928,1853.9,fused_recurrent_gated_delta_rule_fwd_kernel
0.6,35268736,234,150721.1,149360.0,145888,419488,17820.1,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)4096, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)64, (unsigned int)64, (unsigned int)64, (unsigned int)0, (unsigned int)10, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.6,34013411,7110,4783.9,4096.0,3968,18688,1045.3,mhc_pre_big_fuse_with_norm_tilelang_kernel
0.5,27012671,3318,8141.3,1600.0,896,70080,14362.8,"void deep_gemm::sm120_split_k_reduce_impl<cutlass::bfloat16_t, (unsigned int)4>(T1 *, const float *, unsigned int, unsigned int, int, int)"
0.4,26588194,3555,7479.1,2144.0,1215,82400,11466.9,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)1, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.4,23500186,6636,3541.3,2080.0,1888,27424,3537.6,"void per_token_group_quant_8bit_kernel<c10::BFloat16, c10::Float8_e4m3fn, (bool)0, (bool)1, float>(const T1 *, void *, T5 *, int, int, int, float, float, float, int, int)"
0.3,20721662,869,23845.4,23424.0,19392,50176,2093.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_nn_align8>(T1::Params)
0.3,18987104,869,21849.4,20992.0,18912,87072,3328.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_tn_align8>(T1::Params)
0.3,16707472,11025,1515.4,1472.0,832,33344,804.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,16643232,858,19397.7,16256.0,15424,30368,3698.7,"void vllm::topKPerRowDecode<(int)1024, (bool)1, (bool)0, (bool)1>(const float *, const int *, int *, int, int, int, int, int, float *, int, const int *)"
0.3,15954912,869,18360.1,16608.0,10656,38272,5662.4,"void flashinfer::mla::BatchMLAPagedAttentionKernel<flashinfer::mla::KernelTraits<(bool)0, (unsigned int)1, (bool)0, (unsigned int)512, (unsigned int)0, (unsigned int)64, (unsigned int)16, __nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>, flashinfer::MLAParams<__nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>>(T2)"
0.3,15555511,9137,1702.5,1248.0,992,22752,1600.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
