Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.4,6798214624,2756,2466696.2,3280.0,2000,1826830720,44047769.2,cudaMemcpyAsync
14.9,2091186048,6972,299940.6,3504.0,2400,58837680,2344534.8,cudaLaunchKernel
12.8,1797971872,5173,347568.5,4512.0,2272,59153232,1726113.2,cuLaunchKernelEx
11.2,1568195712,1997,785275.8,4496.0,2320,58047968,4612641.4,cuLaunchKernel
7.6,1062285328,9,118031703.1,1877664.0,22768,863037904,281516257.2,cuKernelSetAttribute
3.0,416907408,864,482531.7,5544.0,2672,36096000,1542750.7,cudaLaunchKernelExC_v11060
0.8,118683312,98,1211054.2,542232.0,229872,4526416,1039682.3,cudaGraphLaunch_v10000
0.5,74479408,44,1692713.8,13536.0,4416,5263632,2069366.2,cudaMemsetAsync
0.5,70156160,82,855562.9,641688.0,562896,2753552,453946.4,cuMemCreate
0.1,20826912,41,507973.5,379568.0,199248,2706272,450447.6,cuMemSetAccess
0.0,6318864,118,53549.7,976.0,816,2700096,316724.6,cudaStreamSynchronize
0.0,1483696,1584,936.7,704.0,352,50384,1511.8,cudaEventQuery
0.0,1235632,1471,840.0,672.0,272,14064,809.9,cudaStreamWaitEvent
0.0,1187632,1043,1138.7,416.0,224,49840,2181.5,cudaEventRecordWithFlags_v11010
0.0,1121312,1420,789.7,512.0,272,19712,964.3,cudaEventRecord
0.0,710320,51,13927.8,11008.0,5328,28048,5935.4,cudaEventSynchronize
0.0,692176,815,849.3,320.0,144,165952,6648.4,cuKernelGetFunction
0.0,682400,6972,97.9,64.0,16,3408,181.8,cuKernelGetName
0.0,608720,82,7423.4,4920.0,912,59888,9457.9,cuMemMap
0.0,548096,2381,230.2,144.0,80,5312,349.2,cudaStreamIsCapturing_v10000
0.0,486464,44,11056.0,5552.0,3776,199984,29325.6,cudaLaunchCooperativeKernel
0.0,377888,2696,140.2,80.0,16,4336,212.1,cuTensorMapEncodeTiled
0.0,365104,102,3579.5,2104.0,400,82080,8345.2,cudaEventDestroy
0.0,321440,924,347.9,320.0,96,10384,570.7,cudaStreamGetCaptureInfo_v12030
0.0,306336,462,663.1,464.0,320,11120,918.8,cudaGetFuncBySymbol_v11000
0.0,256448,1,256448.0,256448.0,256448,256448,0.0,cuLibraryLoadFromFile
0.0,243808,9,27089.8,24912.0,10976,47056,12120.2,cuLibraryLoadData
0.0,176192,12,14682.7,8464.0,3440,61920,17015.3,cudaHostAlloc
0.0,148496,102,1455.8,1032.0,304,13072,1888.4,cudaEventCreateWithFlags
0.0,109520,17,6442.4,5616.0,3888,11872,2169.6,cudaLaunchHostFunc_v10000
0.0,18032,13,1387.1,368.0,112,9248,2520.8,cuLibraryGetKernel
0.0,352,1,352.0,352.0,352,352,0.0,cuLibraryGetKernelCount
0.0,128,1,128.0,128.0,128,128,0.0,cuLibraryEnumerateKernels
