Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.7,3885320000,5202,746889.7,47568.0,34272,62067968,4249204.1,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
22.4,3263933856,4284,761889.3,491760.0,141056,9173024,1397072.1,fused_moe_kernel
10.6,1551265632,561,2765179.4,49600.0,47008,48779104,9859140.2,"void flashinfer::mla::BatchMLAPagedAttentionKernel<flashinfer::mla::KernelTraits<(bool)0, (unsigned int)1, (bool)0, (unsigned int)512, (unsigned int)0, (unsigned int)64, (unsigned int)16, __nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>, flashinfer::MLAParams<__nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, int>>(T2)"
5.4,783841243,8755,89530.7,61568.0,3552,781728,100054.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
4.5,649479456,662,981086.8,805920.0,3424,2530144,958371.6,mhc_post_tilelang_kernel
3.6,524132448,269,1948447.8,1257120.0,333120,5759584,1600145.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
2.8,406675923,4590,88600.4,4128.0,3968,1772384,307966.6,mhc_pre_big_fuse_with_norm_tilelang_kernel
2.0,290003936,360,805566.5,921984.0,372384,1462112,288699.7,"void deep_gemm::sm120_tf32_hc_prenorm_gemm_impl<(unsigned int)24, (unsigned int)16384, (unsigned int)128, (unsigned int)32, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)256, (unsigned int)128>(unsigned int, CUtensorMap_st, CUtensorMap_st, float *, float *)"
1.9,270841147,6460,41925.9,13440.0,4000,1761408,168647.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
1.8,267646560,2142,124951.7,1728.0,1408,2260000,450016.3,"void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)8, (bool)0>(T1 *, const T1 *, long, int, long, long, const T2 *, const int *, long, long)"
1.4,200249088,74,2706068.8,2527376.0,649568,13064800,2061631.1,nvjet_sm121_tst_mma_128x208x64_2_32x104x64_tmaAB_bz_TNNN
0.7,105891712,136,778615.5,896688.0,359648,1169888,274516.6,chunk_gla_fwd_kernel_o
0.7,104931674,4284,24493.9,2080.0,1888,494368,77219.7,"void per_token_group_quant_8bit_kernel<c10::BFloat16, c10::Float8_e4m3fn, (bool)0, (bool)1, float>(const T1 *, void *, T5 *, int, int, int, float, float, float, int, int)"
0.7,104330368,136,767135.1,856560.0,338464,1157408,277609.9,recompute_w_u_fwd_kernel
0.7,96143962,7000,13734.9,1472.0,832,1413472,55974.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.7,94757920,136,696749.4,802352.0,324448,1088288,242862.0,_causal_conv1d_fwd_kernel
0.6,94699008,3162,29949.1,1600.0,800,891584,128277.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.6,92730336,1974,46975.9,45840.0,14272,118240,15182.7,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)512, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)64, (unsigned int)64, (unsigned int)64, (unsigned int)0, (unsigned int)10, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.6,87386144,2142,40796.5,1984.0,1312,779488,142114.4,triton_poi_fused_clamp_copy__mul_silu_slice_0
0.5,79585728,136,585189.2,696544.0,254304,961984,212730.8,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
0.5,71850976,136,528316.0,590960.0,247968,886144,184267.1,chunk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_inter
0.5,68809152,168,409578.3,395744.0,321152,617952,64326.1,nvjet_sm121_tst_mma_128x144x64_2_32x72x64_tmaAB_bz_TNNN
0.4,64809984,136,476544.0,580880.0,212032,824224,175044.7,chunk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_intra
0.4,60063200,35,1716091.4,1703392.0,1111872,2165760,200724.3,nvjet_sm121_tst_mma_192x144x64_2_48x72x64_tmaAB_bz_TNNN
0.4,57706877,4183,13795.6,12768.0,8736,141440,3590.1,mhc_fused_tilelang_kernel
0.4,54999738,4896,11233.6,2256.0,1120,732832,50888.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.4,54882432,2295,23913.9,2272.0,1888,482432,79795.5,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)16, (int)1>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.3,50911742,1974,25791.2,26560.0,18752,80608,4437.0,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4, (unsigned int)4096, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)5, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)128, (unsigned int)4>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.3,49597216,212,233949.1,254944.0,93728,499744,104011.1,nvjet_sm121_tst_mma_128x160x64_2_64x40x64_tmaAB_bz_TNNN
0.3,46217536,168,275104.4,329168.0,129504,592832,103831.5,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)1024, (unsigned int)4096, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)64, (unsigned int)64, (unsigned int)64, (unsigned int)128, (unsigned int)4, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)64, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.3,46065472,33,1395923.4,1449568.0,951456,1966112,303171.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align8>(T1::Params)
0.3,44184192,272,162441.9,190464.0,37792,317056,81262.2,l2norm_fwd_kernel2
0.3,42123296,136,309730.1,370992.0,130048,590816,116256.4,kda_gate_cumsum_fwd_kernel
